start	end	lat	lon	lat	lon	name
7144764276	292040055	-5010128.03	879216.28	-5010096.64	879217.8099999999	Dieselstraße
292040056	7144764276	-5010214.83	879212.3099999999	-5010128.03	879216.28	Dieselstraße
1899028410	292040056	-5010269.2	879209.5099999999	-5010214.83	879212.3099999999	Dieselstraße
60405590	1899028410	-5010272.99	879209.11	-5010269.2	879209.5099999999	Dieselstraße
3206532661	5218114124	-5008939.11	876264.34	-5008932.47	876187.1599999999	Odenwaldring
3206532662	3206532661	-5008939.989999999	876274.54	-5008939.11	876264.34	Odenwaldring
34042088	3206532662	-5008940.7299999995	876283.18	-5008939.989999999	876274.54	Odenwaldring
1834596154	165129	-5009834.699999999	875123.1900000001	-5009827.61	875124.25	Isenburgring
2011820042	1834596154	-5009835.93	875122.4199999999	-5009834.699999999	875123.1900000001	Isenburgring
905156093	2011820042	-5009837.42	875121.93	-5009835.93	875122.4199999999	Isenburgring
2011820047	905156093	-5009838.7299999995	875121.71	-5009837.42	875121.93	Isenburgring
1834596170	2011820047	-5009840.21	875121.7499999999	-5009838.7299999995	875121.71	Isenburgring
1834596173	1834596170	-5009842.32	875122.6799999999	-5009840.21	875121.7499999999	Isenburgring
165128	1834596173	-5009860.38	875131.79	-5009842.32	875122.6799999999	Isenburgring
4363651293	150883871	-5009721.03	875681.58	-5009749.05	875560.9400000001	Liebigstraße
4363651290	4363651293	-5009711.98	875720.5499999999	-5009721.03	875681.58	Liebigstraße
3016236475	4363651290	-5009701.720000001	875764.73	-5009711.98	875720.5499999999	Liebigstraße
2031153991	2031153992	-5008943.33	876198.14	-5008944.47	876207.9099999999	Odenwaldring
2031153990	2031153991	-5008940.68	876177.9	-5008943.33	876198.14	Odenwaldring
198973672	2031153990	-5008939.149999999	876165.31	-5008940.68	876177.9	Odenwaldring
2012875077	198973672	-5008934.57	876111.88	-5008939.149999999	876165.31	Odenwaldring
2012875073	2012875077	-5008932.09	876083.05	-5008934.57	876111.88	Odenwaldring
2012875071	2012875073	-5008931.21	876073.6599999999	-5008932.09	876083.05	Odenwaldring
31124340	2012875071	-5008928.9	876058.9700000001	-5008931.21	876073.6599999999	Odenwaldring
7150680415	60784533	-5009874.75	878518.1400000001	-5009879.08	878504.97	Obere Grenzstraße
60784534	7150680415	-5009865.05	878547.64	-5009874.75	878518.1400000001	Obere Grenzstraße
2022280044	60784534	-5009863.760000001	878551.2000000001	-5009865.05	878547.64	Obere Grenzstraße
2022280011	2022280044	-5009862.16	878555.08	-5009863.760000001	878551.2000000001	Obere Grenzstraße
2019058503	2022280011	-5009860.08	878559.2100000001	-5009862.16	878555.08	Obere Grenzstraße
2019058502	2019058503	-5009857.56	878563.49	-5009860.08	878559.2100000001	Obere Grenzstraße
2022279953	2019058502	-5009853.74	878568.22	-5009857.56	878563.49	Obere Grenzstraße
2019058501	2022279953	-5009850.91	878571.37	-5009853.74	878568.22	Obere Grenzstraße
2022279920	2019058501	-5009847.529999999	878574.37	-5009850.91	878571.37	Obere Grenzstraße
2019058500	2022279920	-5009844.65	878576.4	-5009847.529999999	878574.37	Obere Grenzstraße
2022279880	2019058500	-5009840.6	878578.68	-5009844.65	878576.4	Obere Grenzstraße
60784536	2022279880	-5009836.5	878580.48	-5009840.6	878578.68	Obere Grenzstraße
6968692968	60784536	-5009767.1	878603.79	-5009836.5	878580.48	Obere Grenzstraße
6968692967	6968692968	-5009766.23	878604.0800000001	-5009767.1	878603.79	Obere Grenzstraße
2024106312	6968692967	-5009673.83	878635.12	-5009766.23	878604.0800000001	Obere Grenzstraße
60784537	2024106312	-5009667.45	878637.6499999999	-5009673.83	878635.12	Obere Grenzstraße
2028457314	60784537	-5009625.57	878651.41	-5009667.45	878637.6499999999	Obere Grenzstraße
