start	end	lat	lon	lat	lon	name	distance
3161228622	495955320	-5010261.21	876502.29	-5010249.319999999	876412.01	Bleichstraße	0.06577345076589226
196414620	245565478	-5008981.61	875535.88	-5008974.46	875530.3400000001	Richard-Wagner-Straße	0.008881420517045862
196414620	196414626	-5008981.61	875535.88	-5009015.5	875430.56	Odenwaldring	0.08408307978066996
196414620	195984182	-5008981.61	875535.88	-5009091.2299999995	875620.4099999999	Richard-Wagner-Straße	0.13603605964241328
196414626	195984178	-5009015.5	875430.56	-5009046.49	875334.6000000001	Odenwaldring	0.07666590216495368
196414626	196414623	-5009015.5	875430.56	-5009125.54	875513.51	Franz-Liszt-Straße	0.1359600692648037
195984178	196414630	-5009046.49	875334.6000000001	-5009090.05	875208.4099999999	Odenwaldring	0.10229360006631878
195984178	196414640	-5009046.49	875334.6000000001	-5009131.649999999	875400.8	Schumannstraße	0.1058502491290213
35339022	35339023	-5010429.16	876838.42	-5010313.25	876874.65	Friedrichstraße	0.13149195993155746
35339022	1832151239	-5010429.16	876838.42	-5010438.2700000005	876930.0	Bieberer Straße	0.06769864621356839
198965748	198965749	-5009123.550000001	876471.13	-5009136.97	876582.0299999999	Humboldtstraße	0.08053510868018929
198965748	198965752	-5009123.550000001	876471.13	-5009115.46	876383.39	Humboldtstraße	0.06325584848080516
198965748	34042051	-5009123.550000001	876471.13	-5008967.71	876505.56	Brüder-Grimm-Straße	0.17507325609853913
198965748	196424324	-5009123.550000001	876471.13	-5009261.72	876442.6200000001	Brüder-Grimm-Straße	0.1550270380578739
34042051	34042050	-5008967.71	876505.56	-5008976.97	876614.33	Odenwaldring	0.07830260711622553
271785589	279045126	-5008645.51	875374.77	-5008747.600000001	875367.2	Richard-Wagner-Straße	0.11475853190123027
271785589	279051468	-5008645.51	875374.77	-5008620.42	875390.44	Richard-Wagner-Straße	0.030133067986480303
271785592	1854322711	-5008448.68	875292.34	-5008508.609999999	874948.99	Carl-von-Ossietzky-Weg	0.292315270400327
198965749	34042050	-5009136.97	876582.0299999999	-5008976.97	876614.33	Hauffstraße	0.17945422476253048
198965749	198965750	-5009136.97	876582.0299999999	-5009150.34	876691.8499999999	Humboldtstraße	0.07976728621775428
198965749	198968272	-5009136.97	876582.0299999999	-5009276.51	876553.62	Hauffstraße	0.15652855819125322
34042050	34042049	-5008976.97	876614.33	-5008986.39	876722.44	Odenwaldring	0.07785964741668332
198968272	196424324	-5009276.51	876553.62	-5009261.72	876442.6200000001	Birkenlohrstraße	0.080899044874387
198968272	196424322	-5009276.51	876553.62	-5009291.39	876662.4800000001	Birkenlohrstraße	0.07942503749827068
196424322	198972180	-5009291.39	876662.4800000001	-5009443.58	876633.5700000001	Schopenhauerstraße	0.17053306743331428
196424322	198965750	-5009291.39	876662.4800000001	-5009150.34	876691.8499999999	Schopenhauerstraße	0.15828337479127483
196424322	35488221	-5009291.39	876662.4800000001	-5009320.180000001	876872.33	Birkenlohrstraße	0.1531610931624069
198972180	150888249	-5009443.58	876633.5700000001	-5009434.45	876581.2000000001	Friedrichsring	0.03873326944099887
198972180	289459757	-5009443.58	876633.5700000001	-5009460.49	876759.22	Friedrichsring	0.09161299119754457
633588	289420342	-5008119.19	874317.3300000001	-5008466.4799999995	874583.25	Sprendlinger Landstraße	0.4304035603381591
633588	439754206	-5008119.19	874317.3300000001	-5007932.39	874188.4900000001	Sprendlinger Landstraße	0.22739721840827498
633588	5392530979	-5008119.19	874317.3300000001	-5007937.17	874177.1399999999	Sprendlinger Landstraße	0.22595749668035597
1609310280	2472146	-5008513.63	877194.04	-5008500.260000001	877206.3899999999	Waldstraße	0.017288555789003478
1609310280	1838438919	-5008513.63	877194.04	-5008586.32	877133.1699999999	Waldstraße	0.09185130271882569
1609310280	2072229091	-5008513.63	877194.04	-5008509.92	877173.1900000001	Grünring	0.0159194339979186
1609310280	867318522	-5008513.63	877194.04	-5008600.8100000005	877611.74	Grünring	0.31609345996058763
2472137	1854322624	-5008213.5600000005	877706.76	-5008210.4399999995	877714.8300000001	Waldstraße	0.006724626777044597
